p1,pay1,p2,pay2,U1,U2,C1,C2,undec
0.150000,0.650000,0.150000,0.450000,0.097500,0.067500,1,0,0
0.150000,0.650000,0.250000,0.450000,0.097500,0.112500,1,0,0
0.150000,0.650000,0.350000,0.450000,0.097500,0.157500,1,0,0
0.150000,0.650000,0.450000,0.450000,0.097500,0.202500,1,0,0
0.150000,0.650000,0.550000,0.450000,0.097500,0.247500,1,0,0
0.150000,0.650000,0.650000,0.450000,0.097500,0.292500,0,1,0
0.150000,0.650000,0.750000,0.450000,0.097500,0.337500,0,1,0
0.150000,0.650000,0.850000,0.450000,0.097500,0.382500,1,0,0
0.150000,0.650000,0.950000,0.450000,0.097500,0.427500,0,1,0
0.150000,0.650000,0.050000,0.550000,0.097500,0.027500,1,0,0
0.150000,0.650000,0.150000,0.550000,0.097500,0.082500,0,1,0
0.150000,0.650000,0.250000,0.550000,0.097500,0.137500,0,1,0
0.150000,0.650000,0.350000,0.550000,0.097500,0.192500,1,0,0
0.150000,0.650000,0.450000,0.550000,0.097500,0.247500,1,0,0
0.150000,0.650000,0.550000,0.550000,0.097500,0.302500,0,1,0
0.150000,0.650000,0.650000,0.550000,0.097500,0.357500,1,0,0
0.150000,0.650000,0.750000,0.550000,0.097500,0.412500,0,1,0
0.150000,0.650000,0.850000,0.550000,0.097500,0.467500,0,1,0
0.150000,0.650000,0.950000,0.550000,0.097500,0.522500,0,1,0
0.150000,0.650000,0.050000,0.650000,0.097500,0.032500,1,0,0
0.150000,0.650000,0.150000,0.650000,0.097500,0.097500,1,0,0
0.150000,0.650000,0.250000,0.650000,0.097500,0.162500,1,0,0
0.150000,0.650000,0.350000,0.650000,0.097500,0.227500,1,0,0
0.150000,0.650000,0.450000,0.650000,0.097500,0.292500,0,1,0
0.150000,0.650000,0.550000,0.650000,0.097500,0.357500,1,0,0
0.150000,0.650000,0.650000,0.650000,0.097500,0.422500,1,0,0
0.150000,0.650000,0.750000,0.650000,0.097500,0.487500,0,1,0
0.150000,0.650000,0.850000,0.650000,0.097500,0.552500,1,0,0
0.150000,0.650000,0.950000,0.650000,0.097500,0.617500,0,1,0
0.150000,0.650000,0.050000,0.750000,0.097500,0.037500,1,0,0
0.150000,0.650000,0.150000,0.750000,0.097500,0.112500,1,0,0
0.150000,0.650000,0.250000,0.750000,0.097500,0.187500,0,1,0
0.150000,0.650000,0.350000,0.750000,0.097500,0.262500,0,1,0
0.150000,0.650000,0.450000,0.750000,0.097500,0.337500,1,0,0
0.150000,0.650000,0.550000,0.750000,0.097500,0.412500,0,1,0
0.150000,0.650000,0.650000,0.750000,0.097500,0.487500,1,0,0
0.150000,0.650000,0.750000,0.750000,0.097500,0.562500,0,1,0
0.150000,0.650000,0.850000,0.750000,0.097500,0.637500,0,1,0
0.150000,0.650000,0.950000,0.750000,0.097500,0.712500,0,1,0
0.150000,0.650000,0.050000,0.850000,0.097500,0.042500,1,0,0
0.150000,0.650000,0.150000,0.850000,0.097500,0.127500,1,0,0
0.150000,0.650000,0.250000,0.850000,0.097500,0.212500,0,1,0
0.150000,0.650000,0.350000,0.850000,0.097500,0.297500,0,1,0
0.150000,0.650000,0.450000,0.850000,0.097500,0.382500,0,1,0
0.150000,0.650000,0.550000,0.850000,0.097500,0.467500,0,1,0
0.150000,0.650000,0.650000,0.850000,0.097500,0.552500,0,1,0
0.150000,0.650000,0.750000,0.850000,0.097500,0.637500,0,1,0
0.150000,0.650000,0.850000,0.850000,0.097500,0.722500,0,1,0
0.150000,0.650000,0.950000,0.850000,0.097500,0.807500,0,1,0
0.150000,0.650000,0.050000,0.950000,0.097500,0.047500,1,0,0
0.150000,0.650000,0.150000,0.950000,0.097500,0.142500,1,0,0
0.150000,0.650000,0.250000,0.950000,0.097500,0.237500,1,0,0
0.150000,0.650000,0.350000,0.950000,0.097500,0.332500,1,0,0
0.150000,0.650000,0.450000,0.950000,0.097500,0.427500,0,1,0
0.150000,0.650000,0.550000,0.950000,0.097500,0.522500,0,1,0
0.150000,0.650000,0.650000,0.950000,0.097500,0.617500,0,1,0
0.150000,0.650000,0.750000,0.950000,0.097500,0.712500,0,1,0
0.150000,0.650000,0.850000,0.950000,0.097500,0.807500,0,1,0
0.150000,0.650000,0.950000,0.950000,0.097500,0.902500,0,1,0
0.250000,0.650000,0.050000,0.050000,0.162500,0.002500,1,0,0
0.250000,0.650000,0.150000,0.050000,0.162500,0.007500,1,0,0
0.250000,0.650000,0.250000,0.050000,0.162500,0.012500,1,0,0
0.250000,0.650000,0.350000,0.050000,0.162500,0.017500,1,0,0
0.250000,0.650000,0.450000,0.050000,0.162500,0.022500,1,0,0
0.250000,0.650000,0.550000,0.050000,0.162500,0.027500,1,0,0
0.250000,0.650000,0.650000,0.050000,0.162500,0.032500,1,0,0
0.250000,0.650000,0.750000,0.050000,0.162500,0.037500,1,0,0
0.250000,0.650000,0.850000,0.050000,0.162500,0.042500,1,0,0
0.250000,0.650000,0.950000,0.050000,0.162500,0.047500,1,0,0
0.250000,0.650000,0.050000,0.150000,0.162500,0.007500,1,0,0
0.250000,0.650000,0.150000,0.150000,0.162500,0.022500,1,0,0
0.250000,0.650000,0.250000,0.150000,0.162500,0.037500,1,0,0
0.250000,0.650000,0.350000,0.150000,0.162500,0.052500,1,0,0
0.250000,0.650000,0.450000,0.150000,0.162500,0.067500,1,0,0
0.250000,0.650000,0.550000,0.150000,0.162500,0.082500,1,0,0
0.250000,0.650000,0.650000,0.150000,0.162500,0.097500,1,0,0
0.250000,0.650000,0.750000,0.150000,0.162500,0.112500,1,0,0
0.250000,0.650000,0.850000,0.150000,0.162500,0.127500,1,0,0
0.250000,0.650000,0.950000,0.150000,0.162500,0.142500,1,0,0
0.250000,0.650000,0.050000,0.250000,0.162500,0.012500,1,0,0
0.250000,0.650000,0.150000,0.250000,0.162500,0.037500,1,0,0
0.250000,0.650000,0.250000,0.250000,0.162500,0.062500,1,0,0
0.250000,0.650000,0.350000,0.250000,0.162500,0.087500,1,0,0
0.250000,0.650000,0.450000,0.250000,0.162500,0.112500,1,0,0
0.250000,0.650000,0.550000,0.250000,0.162500,0.137500,1,0,0
0.250000,0.650000,0.650000,0.250000,0.162500,0.162500,0,1,0
0.250000,0.650000,0.750000,0.250000,0.162500,0.187500,1,0,0
0.250000,0.650000,0.850000,0.250000,0.162500,0.212500,1,0,0
0.250000,0.650000,0.950000,0.250000,0.162500,0.237500,1,0,0
0.250000,0.650000,0.050000,0.350000,0.162500,0.017500,1,0,0
0.250000,0.650000,0.150000,0.350000,0.162500,0.052500,1,0,0
0.250000,0.650000,0.250000,0.350000,0.162500,0.087500,1,0,0
0.250000,0.650000,0.350000,0.350000,0.162500,0.122500,1,0,0
0.250000,0.650000,0.450000,0.350000,0.162500,0.157500,1,0,0
0.250000,0.650000,0.550000,0.350000,0.162500,0.192500,0,1,0
0.250000,0.650000,0.650000,0.350000,0.162500,0.227500,1,0,0
0.250000,0.650000,0.750000,0.350000,0.162500,0.262500,1,0,0
0.250000,0.650000,0.850000,0.350000,0.162500,0.297500,1,0,0
0.250000,0.650000,0.950000,0.350000,0.162500,0.332500,0,1,0
0.250000,0.650000,0.050000,0.450000,0.162500,0.022500,1,0,0
0.250000,0.650000,0.150000,0.450000,0.162500,0.067500,1,0,0
0.250000,0.650000,0.250000,0.450000,0.162500,0.112500,1,0,0
0.250000,0.650000,0.350000,0.450000,0.162500,0.157500,1,0,0
0.250000,0.650000,0.450000,0.450000,0.162500,0.202500,1,0,0
0.250000,0.650000,0.550000,0.450000,0.162500,0.247500,0,1,0
0.250000,0.650000,0.650000,0.450000,0.162500,0.292500,1,0,0
0.250000,0.650000,0.750000,0.450000,0.162500,0.337500,1,0,0
0.250000,0.650000,0.850000,0.450000,0.162500,0.382500,0,1,0
0.250000,0.650000,0.950000,0.450000,0.162500,0.427500,1,0,0
0.250000,0.650000,0.050000,0.550000,0.162500,0.027500,1,0,0
0.250000,0.650000,0.150000,0.550000,0.162500,0.082500,1,0,0
0.250000,0.650000,0.250000,0.550000,0.162500,0.137500,1,0,0
0.250000,0.650000,0.350000,0.550000,0.162500,0.192500,1,0,0
0.250000,0.650000,0.450000,0.550000,0.162500,0.247500,0,1,0
0.250000,0.650000,0.550000,0.550000,0.162500,0.302500,0,1,0
0.250000,0.650000,0.650000,0.550000,0.162500,0.357500,1,0,0
0.250000,0.650000,0.750000,0.550000,0.162500,0.412500,1,0,0
0.250000,0.650000,0.850000,0.550000,0.162500,0.467500,1,0,0
0.250000,0.650000,0.950000,0.550000,0.162500,0.522500,0,1,0
0.250000,0.650000,0.050000,0.650000,0.162500,0.032500,1,0,0
0.250000,0.650000,0.150000,0.650000,0.162500,0.097500,1,0,0
0.250000,0.650000,0.250000,0.650000,0.162500,0.162500,0,1,0
0.250000,0.650000,0.350000,0.650000,0.162500,0.227500,0,1,0
0.250000,0.650000,0.450000,0.650000,0.162500,0.292500,0,1,0
0.250000,0.650000,0.550000,0.650000,0.162500,0.357500,0,1,0
0.250000,0.650000,0.650000,0.650000,0.162500,0.422500,0,1,0
0.250000,0.650000,0.750000,0.650000,0.162500,0.487500,0,1,0
0.250000,0.650000,0.850000,0.650000,0.162500,0.552500,0,1,0
0.250000,0.650000,0.950000,0.650000,0.162500,0.617500,1,0,0
0.250000,0.650000,0.050000,0.750000,0.162500,0.037500,1,0,0
0.250000,0.650000,0.150000,0.750000,0.162500,0.112500,0,1,0
0.250000,0.650000,0.250000,0.750000,0.162500,0.187500,0,1,0
0.250000,0.650000,0.350000,0.750000,0.162500,0.262500,0,1,0
0.250000,0.650000,0.450000,0.750000,0.162500,0.337500,0,1,0
0.250000,0.650000,0.550000,0.750000,0.162500,0.412500,0,1,0
0.250000,0.650000,0.650000,0.750000,0.162500,0.487500,1,0,0
0.250000,0.650000,0.750000,0.750000,0.162500,0.562500,0,1,0
0.250000,0.650000,0.850000,0.750000,0.162500,0.637500,0,1,0
0.250000,0.650000,0.950000,0.750000,0.162500,0.712500,0,1,0
0.250000,0.650000,0.050000,0.850000,0.162500,0.042500,1,0,0
0.250000,0.650000,0.150000,0.850000,0.162500,0.127500,0,1,0
0.250000,0.650000,0.250000,0.850000,0.162500,0.212500,1,0,0
0.250000,0.650000,0.350000,0.850000,0.162500,0.297500,1,0,0
0.250000,0.650000,0.450000,0.850000,0.162500,0.382500,1,0,0
0.250000,0.650000,0.550000,0.850000,0.162500,0.467500,0,1,0
0.250000,0.650000,0.650000,0.850000,0.162500,0.552500,0,1,0
0.250000,0.650000,0.750000,0.850000,0.162500,0.637500,0,1,0
0.250000,0.650000,0.850000,0.850000,0.162500,0.722500,0,1,0
0.250000,0.650000,0.950000,0.850000,0.162500,0.807500,1,0,0
0.250000,0.650000,0.050000,0.950000,0.162500,0.047500,1,0,0
0.250000,0.650000,0.150000,0.950000,0.162500,0.142500,1,0,0
0.250000,0.650000,0.250000,0.950000,0.162500,0.237500,0,1,0
0.250000,0.650000,0.350000,0.950000,0.162500,0.332500,0,1,0
0.250000,0.650000,0.450000,0.950000,0.162500,0.427500,1,0,0
0.250000,0.650000,0.550000,0.950000,0.162500,0.522500,0,1,0
0.250000,0.650000,0.650000,0.950000,0.162500,0.617500,0,1,0
0.250000,0.650000,0.750000,0.950000,0.162500,0.712500,0,1,0
0.250000,0.650000,0.850000,0.950000,0.162500,0.807500,0,1,0
0.250000,0.650000,0.950000,0.950000,0.162500,0.902500,0,1,0
0.350000,0.650000,0.050000,0.050000,0.227500,0.002500,1,0,0
0.350000,0.650000,0.150000,0.050000,0.227500,0.007500,1,0,0
0.350000,0.650000,0.250000,0.050000,0.227500,0.012500,1,0,0
0.350000,0.650000,0.350000,0.050000,0.227500,0.017500,1,0,0
0.350000,0.650000,0.450000,0.050000,0.227500,0.022500,1,0,0
0.350000,0.650000,0.550000,0.050000,0.227500,0.027500,1,0,0
0.350000,0.650000,0.650000,0.050000,0.227500,0.032500,1,0,0
0.350000,0.650000,0.750000,0.050000,0.227500,0.037500,1,0,0
0.350000,0.650000,0.850000,0.050000,0.227500,0.042500,1,0,0
0.350000,0.650000,0.950000,0.050000,0.227500,0.047500,1,0,0
0.350000,0.650000,0.050000,0.150000,0.227500,0.007500,1,0,0
0.350000,0.650000,0.150000,0.150000,0.227500,0.022500,1,0,0
0.350000,0.650000,0.250000,0.150000,0.227500,0.037500,1,0,0
0.350000,0.650000,0.350000,0.150000,0.227500,0.052500,1,0,0
0.350000,0.650000,0.450000,0.150000,0.227500,0.067500,1,0,0
0.350000,0.650000,0.550000,0.150000,0.227500,0.082500,1,0,0
0.350000,0.650000,0.650000,0.150000,0.227500,0.097500,1,0,0
0.350000,0.650000,0.750000,0.150000,0.227500,0.112500,1,0,0
0.350000,0.650000,0.850000,0.150000,0.227500,0.127500,1,0,0
0.350000,0.650000,0.950000,0.150000,0.227500,0.142500,1,0,0
0.350000,0.650000,0.050000,0.250000,0.227500,0.012500,1,0,0
0.350000,0.650000,0.150000,0.250000,0.227500,0.037500,1,0,0
0.350000,0.650000,0.250000,0.250000,0.227500,0.062500,0,1,0
0.350000,0.650000,0.350000,0.250000,0.227500,0.087500,1,0,0
0.350000,0.650000,0.450000,0.250000,0.227500,0.112500,1,0,0
0.350000,0.650000,0.550000,0.250000,0.227500,0.137500,1,0,0
0.350000,0.650000,0.650000,0.250000,0.227500,0.162500,1,0,0
0.350000,0.650000,0.750000,0.250000,0.227500,0.187500,1,0,0
0.350000,0.650000,0.850000,0.250000,0.227500,0.212500,1,0,0
0.350000,0.650000,0.950000,0.250000,0.227500,0.237500,0,1,0
0.350000,0.650000,0.050000,0.350000,0.227500,0.017500,1,0,0
0.350000,0.650000,0.150000,0.350000,0.227500,0.052500,1,0,0
0.350000,0.650000,0.250000,0.350000,0.227500,0.087500,1,0,0
0.350000,0.650000,0.350000,0.350000,0.227500,0.122500,1,0,0
0.350000,0.650000,0.450000,0.350000,0.227500,0.157500,1,0,0
0.350000,0.650000,0.550000,0.350000,0.227500,0.192500,1,0,0
0.350000,0.650000,0.650000,0.350000,0.227500,0.227500,1,0,0
0.350000,0.650000,0.750000,0.350000,0.227500,0.262500,1,0,0
0.350000,0.650000,0.850000,0.350000,0.227500,0.297500,1,0,0
0.350000,0.650000,0.950000,0.350000,0.227500,0.332500,0,1,0
0.350000,0.650000,0.050000,0.450000,0.227500,0.022500,1,0,0
0.350000,0.650000,0.150000,0.450000,0.227500,0.067500,1,0,0
0.350000,0.650000,0.250000,0.450000,0.227500,0.112500,1,0,0
0.350000,0.650000,0.350000,0.450000,0.227500,0.157500,1,0,0
0.350000,0.650000,0.450000,0.450000,0.227500,0.202500,0,1,0
0.350000,0.650000,0.550000,0.450000,0.227500,0.247500,1,0,0
0.350000,0.650000,0.650000,0.450000,0.227500,0.292500,1,0,0
0.350000,0.650000,0.750000,0.450000,0.227500,0.337500,0,1,0
0.350000,0.650000,0.850000,0.450000,0.227500,0.382500,1,0,0
0.350000,0.650000,0.950000,0.450000,0.227500,0.427500,1,0,0
0.350000,0.650000,0.050000,0.550000,0.227500,0.027500,1,0,0
0.350000,0.650000,0.150000,0.550000,0.227500,0.082500,1,0,0
0.350000,0.650000,0.250000,0.550000,0.227500,0.137500,1,0,0
0.350000,0.650000,0.350000,0.550000,0.227500,0.192500,1,0,0
0.350000,0.650000,0.450000,0.550000,0.227500,0.247500,1,0,0
0.350000,0.650000,0.550000,0.550000,0.227500,0.302500,1,0,0
0.350000,0.650000,0.650000,0.550000,0.227500,0.357500,0,1,0
0.350000,0.650000,0.750000,0.550000,0.227500,0.412500,0,1,0
0.350000,0.650000,0.850000,0.550000,0.227500,0.467500,1,0,0
0.350000,0.650000,0.950000,0.550000,0.227500,0.522500,0,1,0
0.350000,0.650000,0.050000,0.650000,0.227500,0.032500,1,0,0
0.350000,0.650000,0.150000,0.650000,0.227500,0.097500,1,0,0
0.350000,0.650000,0.250000,0.650000,0.227500,0.162500,1,0,0
0.350000,0.650000,0.350000,0.650000,0.227500,0.227500,1,0,0
0.350000,0.650000,0.450000,0.650000,0.227500,0.292500,1,0,0
0.350000,0.650000,0.550000,0.650000,0.227500,0.357500,0,1,0
0.350000,0.650000,0.650000,0.650000,0.227500,0.422500,1,0,0
0.350000,0.650000,0.750000,0.650000,0.227500,0.487500,0,1,0
0.350000,0.650000,0.850000,0.650000,0.227500,0.552500,0,1,0
0.350000,0.650000,0.950000,0.650000,0.227500,0.617500,0,1,0
0.350000,0.650000,0.050000,0.750000,0.227500,0.037500,1,0,0
0.350000,0.650000,0.150000,0.750000,0.227500,0.112500,0,1,0
0.350000,0.650000,0.250000,0.750000,0.227500,0.187500,1,0,0
0.350000,0.650000,0.350000,0.750000,0.227500,0.262500,0,1,0
0.350000,0.650000,0.450000,0.750000,0.227500,0.337500,1,0,0
0.350000,0.650000,0.550000,0.750000,0.227500,0.412500,0,1,0
0.350000,0.650000,0.650000,0.750000,0.227500,0.487500,1,0,0
0.350000,0.650000,0.750000,0.750000,0.227500,0.562500,1,0,0
0.350000,0.650000,0.850000,0.750000,0.227500,0.637500,0,1,0
0.350000,0.650000,0.950000,0.750000,0.227500,0.712500,1,0,0
0.350000,0.650000,0.050000,0.850000,0.227500,0.042500,1,0,0
0.350000,0.650000,0.150000,0.850000,0.227500,0.127500,0,1,0
0.350000,0.650000,0.250000,0.850000,0.227500,0.212500,0,1,0
0.350000,0.650000,0.350000,0.850000,0.227500,0.297500,0,1,0
0.350000,0.650000,0.450000,0.850000,0.227500,0.382500,0,1,0
0.350000,0.650000,0.550000,0.850000,0.227500,0.467500,0,1,0
0.350000,0.650000,0.650000,0.850000,0.227500,0.552500,0,1,0
0.350000,0.650000,0.750000,0.850000,0.227500,0.637500,0,1,0
0.350000,0.650000,0.850000,0.850000,0.227500,0.722500,0,1,0
0.350000,0.650000,0.950000,0.850000,0.227500,0.807500,0,1,0
0.350000,0.650000,0.050000,0.950000,0.227500,0.047500,1,0,0
0.350000,0.650000,0.150000,0.950000,0.227500,0.142500,1,0,0
0.350000,0.650000,0.250000,0.950000,0.227500,0.237500,0,1,0
0.350000,0.650000,0.350000,0.950000,0.227500,0.332500,0,1,0
0.350000,0.650000,0.450000,0.950000,0.227500,0.427500,0,1,0
0.350000,0.650000,0.550000,0.950000,0.227500,0.522500,1,0,0
0.350000,0.650000,0.650000,0.950000,0.227500,0.617500,0,1,0
0.350000,0.650000,0.750000,0.950000,0.227500,0.712500,0,1,0
0.350000,0.650000,0.850000,0.950000,0.227500,0.807500,0,1,0
0.350000,0.650000,0.950000,0.950000,0.227500,0.902500,0,1,0
0.450000,0.650000,0.050000,0.050000,0.292500,0.002500,1,0,0
0.450000,0.650000,0.150000,0.050000,0.292500,0.007500,1,0,0
0.450000,0.650000,0.250000,0.050000,0.292500,0.012500,1,0,0
0.450000,0.650000,0.350000,0.050000,0.292500,0.017500,1,0,0
0.450000,0.650000,0.450000,0.050000,0.292500,0.022500,0,1,0
0.450000,0.650000,0.550000,0.050000,0.292500,0.027500,1,0,0
0.450000,0.650000,0.650000,0.050000,0.292500,0.032500,1,0,0
0.450000,0.650000,0.750000,0.050000,0.292500,0.037500,1,0,0
0.450000,0.650000,0.850000,0.050000,0.292500,0.042500,0,1,0
0.450000,0.650000,0.950000,0.050000,0.292500,0.047500,1,0,0
0.450000,0.650000,0.050000,0.150000,0.292500,0.007500,1,0,0
0.450000,0.650000,0.150000,0.150000,0.292500,0.022500,1,0,0
0.450000,0.650000,0.250000,0.150000,0.292500,0.037500,1,0,0
0.450000,0.650000,0.350000,0.150000,0.292500,0.052500,1,0,0
0.450000,0.650000,0.450000,0.150000,0.292500,0.067500,1,0,0
0.450000,0.650000,0.550000,0.150000,0.292500,0.082500,1,0,0
0.450000,0.650000,0.650000,0.150000,0.292500,0.097500,1,0,0
0.450000,0.650000,0.750000,0.150000,0.292500,0.112500,1,0,0
0.450000,0.650000,0.850000,0.150000,0.292500,0.127500,1,0,0
0.450000,0.650000,0.950000,0.150000,0.292500,0.142500,0,1,0
0.450000,0.650000,0.050000,0.250000,0.292500,0.012500,1,0,0
0.450000,0.650000,0.150000,0.250000,0.292500,0.037500,1,0,0
0.450000,0.650000,0.250000,0.250000,0.292500,0.062500,1,0,0
0.450000,0.650000,0.350000,0.250000,0.292500,0.087500,1,0,0
0.450000,0.650000,0.450000,0.250000,0.292500,0.112500,1,0,0
0.450000,0.650000,0.550000,0.250000,0.292500,0.137500,1,0,0
0.450000,0.650000,0.650000,0.250000,0.292500,0.162500,0,1,0
0.450000,0.650000,0.750000,0.250000,0.292500,0.187500,1,0,0
0.450000,0.650000,0.850000,0.250000,0.292500,0.212500,1,0,0
0.450000,0.650000,0.950000,0.250000,0.292500,0.237500,1,0,0
0.450000,0.650000,0.050000,0.350000,0.292500,0.017500,0,1,0
0.450000,0.650000,0.150000,0.350000,0.292500,0.052500,1,0,0
0.450000,0.650000,0.250000,0.350000,0.292500,0.087500,1,0,0
0.450000,0.650000,0.350000,0.350000,0.292500,0.122500,0,1,0
0.450000,0.650000,0.450000,0.350000,0.292500,0.157500,1,0,0
0.450000,0.650000,0.550000,0.350000,0.292500,0.192500,0,1,0
0.450000,0.650000,0.650000,0.350000,0.292500,0.227500,0,1,0
0.450000,0.650000,0.750000,0.350000,0.292500,0.262500,0,1,0
0.450000,0.650000,0.850000,0.350000,0.292500,0.297500,1,0,0
0.450000,0.650000,0.950000,0.350000,0.292500,0.332500,1,0,0
0.450000,0.650000,0.050000,0.450000,0.292500,0.022500,1,0,0
0.450000,0.650000,0.150000,0.450000,0.292500,0.067500,0,1,0
0.450000,0.650000,0.250000,0.450000,0.292500,0.112500,1,0,0
0.450000,0.650000,0.350000,0.450000,0.292500,0.157500,1,0,0
0.450000,0.650000,0.450000,0.450000,0.292500,0.202500,1,0,0
0.450000,0.650000,0.550000,0.450000,0.292500,0.247500,1,0,0
0.450000,0.650000,0.650000,0.450000,0.292500,0.292500,0,1,0
0.450000,0.650000,0.750000,0.450000,0.292500,0.337500,0,1,0
0.450000,0.650000,0.850000,0.450000,0.292500,0.382500,0,1,0
0.450000,0.650000,0.950000,0.450000,0.292500,0.427500,1,0,0
0.450000,0.650000,0.050000,0.550000,0.292500,0.027500,1,0,0
0.450000,0.650000,0.150000,0.550000,0.292500,0.082500,0,1,0
0.450000,0.650000,0.250000,0.550000,0.292500,0.137500,1,0,0
0.450000,0.650000,0.350000,0.550000,0.292500,0.192500,0,1,0
0.450000,0.650000,0.450000,0.550000,0.292500,0.247500,0,1,0
0.450000,0.650000,0.550000,0.550000,0.292500,0.302500,0,1,0
0.450000,0.650000,0.650000,0.550000,0.292500,0.357500,1,0,0
0.450000,0.650000,0.750000,0.550000,0.292500,0.412500,1,0,0
0.450000,0.650000,0.850000,0.550000,0.292500,0.467500,1,0,0
0.450000,0.650000,0.950000,0.550000,0.292500,0.522500,0,1,0
0.450000,0.650000,0.050000,0.650000,0.292500,0.032500,1,0,0
0.450000,0.650000,0.150000,0.650000,0.292500,0.097500,1,0,0
0.450000,0.650000,0.250000,0.650000,0.292500,0.162500,1,0,0
0.450000,0.650000,0.350000,0.650000,0.292500,0.227500,0,1,0
0.450000,0.650000,0.450000,0.650000,0.292500,0.292500,1,0,0
0.450000,0.650000,0.550000,0.650000,0.292500,0.357500,1,0,0
0.450000,0.650000,0.650000,0.650000,0.292500,0.422500,0,1,0
0.450000,0.650000,0.750000,0.650000,0.292500,0.487500,1,0,0
0.450000,0.650000,0.850000,0.650000,0.292500,0.552500,1,0,0
0.450000,0.650000,0.950000,0.650000,0.292500,0.617500,0,1,0
0.450000,0.650000,0.050000,0.750000,0.292500,0.037500,1,0,0
0.450000,0.650000,0.150000,0.750000,0.292500,0.112500,0,1,0
0.450000,0.650000,0.250000,0.750000,0.292500,0.187500,0,1,0
0.450000,0.650000,0.350000,0.750000,0.292500,0.262500,0,1,0
0.450000,0.650000,0.450000,0.750000,0.292500,0.337500,0,1,0
0.450000,0.650000,0.550000,0.750000,0.292500,0.412500,0,1,0
0.450000,0.650000,0.650000,0.750000,0.292500,0.487500,1,0,0
0.450000,0.650000,0.750000,0.750000,0.292500,0.562500,0,1,0
0.450000,0.650000,0.850000,0.750000,0.292500,0.637500,0,1,0
0.450000,0.650000,0.950000,0.750000,0.292500,0.712500,0,1,0
0.450000,0.650000,0.050000,0.850000,0.292500,0.042500,1,0,0
0.450000,0.650000,0.150000,0.850000,0.292500,0.127500,0,1,0
0.450000,0.650000,0.250000,0.850000,0.292500,0.212500,1,0,0
0.450000,0.650000,0.350000,0.850000,0.292500,0.297500,0,1,0
0.450000,0.650000,0.450000,0.850000,0.292500,0.382500,0,1,0
0.450000,0.650000,0.550000,0.850000,0.292500,0.467500,1,0,0
0.450000,0.650000,0.650000,0.850000,0.292500,0.552500,1,0,0
0.450000,0.650000,0.750000,0.850000,0.292500,0.637500,0,1,0
0.450000,0.650000,0.850000,0.850000,0.292500,0.722500,0,1,0
0.450000,0.650000,0.950000,0.850000,0.292500,0.807500,0,1,0
0.450000,0.650000,0.050000,0.950000,0.292500,0.047500,1,0,0
0.450000,0.650000,0.150000,0.950000,0.292500,0.142500,1,0,0
0.450000,0.650000,0.250000,0.950000,0.292500,0.237500,0,1,0
0.450000,0.650000,0.350000,0.950000,0.292500,0.332500,1,0,0
0.450000,0.650000,0.450000,0.950000,0.292500,0.427500,0,1,0
0.450000,0.650000,0.550000,0.950000,0.292500,0.522500,1,0,0
0.450000,0.650000,0.650000,0.950000,0.292500,0.617500,0,1,0
0.450000,0.650000,0.750000,0.950000,0.292500,0.712500,0,1,0
0.450000,0.650000,0.850000,0.950000,0.292500,0.807500,0,1,0
0.450000,0.650000,0.950000,0.950000,0.292500,0.902500,0,1,0
0.550000,0.650000,0.050000,0.050000,0.357500,0.002500,1,0,0
0.550000,0.650000,0.150000,0.050000,0.357500,0.007500,1,0,0
0.550000,0.650000,0.250000,0.050000,0.357500,0.012500,1,0,0
